University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Instituto Superior D. Afonso III - INUAF,Seara,Portugal,Occupational Therapist,Profound 5th generation local area network,2017-09-14,2017-09-17,9219.69,EUR
Huaihua Radio and Television University,Lantang,China,Engineer III,Diverse system-worthy superstructure,2019-12-06,2020-03-16,3827.91,CNY
Chiang Mai Vocational College,Na Wa,Thailand,Product Engineer,Multi-lateral next generation software,2017-02-19,2017-05-15,4117.0,THB
Sogang University,Yeoju,South Korea,Professor,Realigned impactful project,2016-04-01,2016-07-22,3696.75,KRW
Kunmimg University of Science and Technology,Youxi Chengguanzhen,China,Food Chemist,Polarised foreground synergy,2016-05-31,2016-07-07,3317.03,CNY
Universitas Amir Hamzah,Kediren,Indonesia,Occupational Therapist,Optional tangible moratorium,2017-05-02,2017-05-22,4367.47,IDR
Hebron University,Budrus,Palestinian Territory,Staff Accountant II,Business-focused multi-tasking moderator,2016-08-21,2017-03-06,4160.0,ILS
Wenzhou University,Liuji,China,Accounting Assistant IV,Virtual zero defect moderator,2017-09-28,2017-11-08,6933.74,CNY
Ulaanbaatar University,Delgerhaan,Mongolia,Administrative Assistant I,Profound even-keeled complexity,2017-10-04,2018-05-02,4805.12,MNT
Universidad de Oriente,Jobabo,Cuba,GIS Technical Architect,Multi-layered systematic hardware,2019-03-21,2019-05-28,3517.42,CUP
Leyte State University ,Bolong,Philippines,Media Manager I,Decentralized attitude-oriented knowledge base,2016-08-06,2017-02-17,4999.55,PHP
University of Regina Carmeli,Rominimbang,Philippines,Structural Engineer,Centralized full-range concept,2017-05-13,2017-10-22,2100.73,PHP
Guangxi Normal University,Shaping,China,Safety Technician I,Virtual bifurcated model,2018-02-06,2018-07-06,6034.24,CNY
Southern Medial University,Xinxiang,China,Research Nurse,Stand-alone explicit hardware,2017-12-02,2018-02-17,3599.69,CNY
Universidad Kino,Magisterial,Mexico,Software Test Engineer I,Vision-oriented eco-centric ability,2018-10-16,2018-11-24,5452.27,MXN
Chengdu University of Technology,Gaoqiao,China,Environmental Tech,Advanced executive middleware,2017-05-24,2017-08-20,3084.55,CNY
Chung-Ju National University,Samsan,South Korea,Social Worker,Future-proofed user-facing extranet,2018-06-18,2018-09-02,4105.27,KRW
Institut Sains & Teknologi Akprind,Bancar,Indonesia,Compensation Analyst,Expanded modular knowledge base,2016-04-06,2016-08-30,4626.33,IDR
Mahasarakham University,Wang Nam Yen,Thailand,Budget/Accounting Analyst II,Pre-emptive global moratorium,2018-03-22,2018-05-04,1611.84,THB
Eindhoven University of Technology,Leiden,Netherlands,Dental Hygienist,Compatible interactive Graphic Interface,2018-10-04,2019-04-17,8213.71,EUR
Universidad Hispanoamericana,Vicente Guerrero,Mexico,Pharmacist,Operative mission-critical success,2016-04-05,2016-04-17,8944.8,MXN
Universitas Riau,Lanpelan,Indonesia,Executive Secretary,De-engineered executive budgetary management,2018-07-05,2018-11-28,6158.61,IDR
Shandong Medical University,Rendian,China,VP Accounting,Polarised zero defect product,2017-11-28,2018-06-26,3195.4,CNY
Finnmark University College,Oslo,Norway,Recruiting Manager,Stand-alone optimal matrix,2018-06-13,2018-12-25,6871.41,NOK
Universitas Madura,Runting,Indonesia,Quality Control Specialist,Virtual high-level conglomeration,2018-05-25,2018-09-21,7160.73,IDR
Singidunum University,Bojnik,Serbia,Systems Administrator III,Upgradable next generation access,2019-02-12,2019-07-18,6977.46,RSD
Hellenic Open University,Agía Varvára,Greece,Automation Specialist IV,De-engineered optimal algorithm,2016-10-23,2016-11-08,1823.39,EUR
Instituto Superior de Ciências Empresariais e de Turismo,Sines,Portugal,Cost Accountant,Synergized contextually-based functionalities,2016-12-14,2017-03-04,1549.92,EUR
University of the Immaculate Conception,Vitali,Philippines,Structural Engineer,Automated contextually-based success,2017-02-05,2017-04-23,405.43,PHP
University of the Philippines Mindanao,San Teodoro,Philippines,Structural Engineer,Pre-emptive maximized installation,2018-05-09,2018-12-14,7748.92,PHP
Palestine Technical University - Kadoorie,Az Zubaydāt,Palestinian Territory,Quality Engineer,Optional dedicated alliance,2016-12-16,2017-05-31,9969.29,ILS
Prasetiya Mulya Business School,Wedangtemu,Indonesia,Assistant Professor,Progressive fresh-thinking algorithm,2019-08-31,2019-11-18,2473.12,IDR
Universidade Mackenzie,Carandaí,Brazil,VP Product Management,Ergonomic mission-critical firmware,2018-11-03,2019-05-01,6748.87,BRL
University of Mindanao,Del Pilar,Philippines,Civil Engineer,Assimilated regional Graphic Interface,2016-11-03,2017-06-11,8552.51,PHP
University of Central Greece,Evxinoúpolis,Greece,Senior Cost Accountant,Organized grid-enabled database,2018-03-15,2018-05-04,175.58,EUR
University of Jyväskylä,Loimaan Kunta,Finland,Help Desk Operator,Intuitive demand-driven hub,2018-11-12,2018-12-28,4181.75,EUR
Shandong Economic University,Kangmei,China,Clinical Specialist,Implemented national throughput,2017-01-14,2017-06-21,7242.92,CNY
University of Technology and Life Sciences,Bystrzyca,Poland,Geological Engineer,Exclusive mission-critical instruction set,2016-04-01,2016-10-06,7768.6,PLN
Universidade Bandeirante de São Paulo,Santa Quitéria,Brazil,Administrative Officer,Optimized system-worthy parallelism,2017-09-25,2018-03-06,7164.93,BRL
Universitas Wijaya Kusuma Purwokerto,Sondo,Indonesia,VP Sales,Quality-focused human-resource project,2016-03-11,2016-06-04,2102.11,IDR
Université Lumiére (Lyon II),Libourne,France,Senior Cost Accountant,Advanced contextually-based complexity,2019-07-01,2019-10-28,2251.95,EUR
